trial_id	subject	run	onset	duration	trial_type	material	response	beta_index	include_mvpa	source_events	source_preproc_bold
sub-002_run-01_trial-001	sub-002	01	10.5	9.0	stimulation	N4	0	0	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-002	sub-002	01	22.5	9.0	stimulation	T8	0	1	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-003	sub-002	01	34.5	9.0	stimulation	P12	0	2	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-004	sub-002	01	46.5	9.0	stimulation	X8	0	3	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-005	sub-002	01	58.5	9.0	stimulation	M4	0	4	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-006	sub-002	01	70.5	9.0	stimulation	M4	1	5	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-007	sub-002	01	82.5	9.0	stimulation	L3	0	6	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-008	sub-002	01	94.5	9.0	stimulation	N6	0	7	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-009	sub-002	01	106.5	9.0	stimulation	I12	0	8	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-010	sub-002	01	118.5	9.0	stimulation	O8	0	9	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-011	sub-002	01	130.5	9.0	stimulation	L4	0	10	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-012	sub-002	01	142.5	9.0	stimulation	R20	0	11	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-013	sub-002	01	154.5	9.0	stimulation	R20	1	12	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-014	sub-002	01	166.5	9.0	stimulation	E5	0	13	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-015	sub-002	01	178.5	9.0	stimulation	P3	0	14	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-016	sub-002	01	190.5	9.0	stimulation	Pn	0	15	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-017	sub-002	01	202.5	9.0	stimulation	L8	0	16	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-018	sub-002	01	214.5	9.0	stimulation	Mn	0	17	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-019	sub-002	01	226.5	9.0	stimulation	R32	0	18	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-020	sub-002	01	238.5	9.0	stimulation	Ln	0	19	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-021	sub-002	01	250.5	9.0	stimulation	E2	0	20	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-022	sub-002	01	262.5	9.0	stimulation	Px	0	21	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-023	sub-002	01	274.5	9.0	stimulation	E6	0	22	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-024	sub-002	01	286.5	9.0	stimulation	E6	1	23	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-025	sub-002	01	298.5	9.0	stimulation	R12	0	24	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-026	sub-002	01	310.5	9.0	stimulation	J4	0	25	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-027	sub-002	01	322.5	9.0	stimulation	Tn	0	26	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-028	sub-002	01	334.5	9.0	stimulation	N8	0	27	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-029	sub-002	01	346.5	9.0	stimulation	I4	0	28	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-030	sub-002	01	358.5	9.0	stimulation	T3	0	29	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-031	sub-002	01	370.5	9.0	stimulation	R4	0	30	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-032	sub-002	01	382.5	9.0	stimulation	L4	0	31	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-033	sub-002	01	394.5	9.0	stimulation	M12	0	32	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-034	sub-002	01	406.5	9.0	stimulation	M12	1	33	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-035	sub-002	01	418.5	9.0	stimulation	Tn	0	34	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-036	sub-002	01	430.5	9.0	stimulation	X6	0	35	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-037	sub-002	01	442.5	9.0	stimulation	T3	0	36	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-038	sub-002	01	454.5	9.0	stimulation	E1	0	37	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-039	sub-002	01	466.5	9.0	stimulation	I3	0	38	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-040	sub-002	01	478.5	9.0	stimulation	I6	0	39	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-041	sub-002	01	490.5	9.0	stimulation	T8	0	40	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-042	sub-002	01	502.5	9.0	stimulation	N4	0	41	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-043	sub-002	01	514.5	9.0	stimulation	O12	0	42	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-044	sub-002	01	526.5	9.0	stimulation	O12	1	43	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-01_trial-045	sub-002	01	538.5	9.0	stimulation	O6	0	44	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-01_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-01_space-T1w_desc-preproc_bold.nii.gz
