trial_id	subject	run	onset	duration	trial_type	material	response	beta_index	include_mvpa	source_events	source_preproc_bold
sub-002_run-03_trial-028	sub-002	03	334.5	9.0	stimulation	Nx	0	27	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-029	sub-002	03	346.5	9.0	stimulation	Jn	0	28	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-030	sub-002	03	358.5	9.0	stimulation	Jn	1	29	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-031	sub-002	03	370.5	9.0	stimulation	N12	0	30	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-032	sub-002	03	382.5	9.0	stimulation	R92	0	31	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-033	sub-002	03	394.5	9.0	stimulation	J6	0	32	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-034	sub-002	03	406.5	9.0	stimulation	N12	0	33	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-035	sub-002	03	418.5	9.0	stimulation	R8	0	34	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-036	sub-002	03	430.5	9.0	stimulation	In	0	35	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-037	sub-002	03	442.5	9.0	stimulation	Mn	0	36	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-038	sub-002	03	454.5	9.0	stimulation	X4	0	37	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-039	sub-002	03	466.5	9.0	stimulation	X4	1	38	False	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-040	sub-002	03	478.5	9.0	stimulation	Jn	0	39	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-041	sub-002	03	490.5	9.0	stimulation	I4	0	40	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-042	sub-002	03	502.5	9.0	stimulation	V8	0	41	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-043	sub-002	03	514.5	9.0	stimulation	R20	0	42	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-044	sub-002	03	526.5	9.0	stimulation	J3	0	43	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
sub-002_run-03_trial-045	sub-002	03	538.5	9.0	stimulation	Px	0	44	True	data/bids_dataset\sub-002\func\sub-002_task-tactile_run-03_events.tsv	data\derivatives\sub-002\func\sub-002_task-tactile_run-03_space-T1w_desc-preproc_bold.nii.gz
